Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2014/6/17,23.07749939,23.17499924,22.95000076,23.02000046,20.31610107,118904000,0,0
2014/6/18,23.06749916,23.07250023,22.83749962,23.04500008,20.33817101,134056000,0,0
2014/6/19,23.07250023,23.07500076,22.83499908,22.96500015,20.2675705,142112000,0,0
2014/6/20,22.96249962,23.13750076,22.72500038,22.72750092,20.05797005,403592000,0,0
2014/6/23,22.82999992,22.90500069,22.64999962,22.70750046,20.04032326,174776000,0,0
2014/6/24,22.6875,22.93499947,22.54750061,22.56999969,19.91896248,156144000,0,0
2014/6/25,22.55249977,22.67499924,22.41250038,22.59000015,19.9366169,147476000,0,0
2014/6/26,22.59250069,22.76250076,22.45000076,22.72500038,20.05575752,130516000,0,0
2014/6/27,22.70499992,23,22.69249916,22.99500084,20.29404259,256116000,0,0
2014/6/30,23.02499962,23.43250084,23.02249908,23.23250008,20.50364685,197929200,0,0
2014/7/1,23.37999916,23.51749992,23.28249931,23.37999916,20.63382721,152892000,0,0
2014/7/2,23.46750069,23.51499939,23.27249908,23.37000084,20.62500381,113860000,0,0
2014/7/3,23.41749954,23.52499962,23.29999924,23.50749969,20.74635124,91567200,0,0
2014/7/7,23.53499985,23.99749947,23.52499962,23.99250031,21.17438507,225872000,0,0
2014/7/8,24.06749916,24.20000076,23.47999954,23.83749962,21.0375843,260888000,0,0
2014/7/9,23.86000061,23.98749924,23.69000053,23.84749985,21.04640579,145744000,0,0
2014/7/10,23.44000053,23.88750076,23.37999916,23.76000023,20.96918106,158744000,0,0
2014/7/11,23.84000015,23.97249985,23.71500015,23.80500031,21.0089035,136072000,0,0
2014/7/14,23.96500015,24.22249985,23.91250038,24.11249924,21.28028107,171240000,0,0
2014/7/15,24.20000076,24.21249962,23.75749969,23.82999992,21.03097153,181911600,0,0
2014/7/16,24.24250031,24.27499962,23.68499947,23.69499969,20.91182709,213585200,0,0
2014/7/17,23.75749969,23.81999969,23.14249992,23.27249908,20.53895187,229192000,0,0
2014/7/18,23.40500069,23.68499947,23.25499916,23.60750008,20.83459854,199952000,0,0
2014/7/21,23.74749947,23.75,23.43000031,23.48500061,20.72649193,156316000,0,0
2014/7/22,23.67000008,23.72249985,23.53000069,23.68000031,20.898592,220788000,0,0
2014/7/23,23.85499954,24.46999931,23.79249954,24.29750061,21.44355774,371672000,0,0
2014/7/24,24.26000023,24.32999992,24.10499954,24.25749969,21.40825653,182916000,0,0
2014/7/25,24.21249962,24.45999908,24.15999985,24.41749954,21.54945755,173876000,0,0
2014/7/28,24.45499992,24.80999947,24.38750076,24.75499916,21.84732056,221272000,0,0
2014/7/29,24.83250046,24.86000061,24.5625,24.59499931,21.70610809,172572000,0,0
2014/7/30,24.61000061,24.67499924,24.41749954,24.53750038,21.65536118,132040000,0,0
2014/7/31,24.29000092,24.36249924,23.83250046,23.89999962,21.09274673,227372000,0,0
2014/8/1,23.72500038,24.15500069,23.70249939,24.03249931,21.20968056,194044000,0,0
2014/8/4,24.09250069,24.14500046,23.79249954,23.89749908,21.09053612,159832000,0,0
2014/8/5,23.84000015,23.92000008,23.59000015,23.78000069,20.9868412,223732000,0,0
2014/8/6,23.6875,23.87000084,23.67749977,23.73999977,20.95153999,154232000,0,0
2014/8/7,23.73250008,23.98749924,23.52499962,23.62000084,20.94932747,186844000,0.1175,0
2014/8/8,23.56500053,23.70499992,23.31999969,23.68499947,21.00696945,167460000,0,0
2014/8/11,23.81749916,24.02000046,23.70999908,23.99749947,21.28413773,146340000,0,0
2014/8/12,24.01000023,24.21999931,23.90250015,23.99250031,21.27970695,135180000,0,0
2014/8/13,24.03750038,24.30999947,24.01000023,24.30999947,21.56130409,127664000,0,0
2014/8/14,24.33250046,24.39249992,24.20000076,24.375,21.61895561,112464000,0,0
2014/8/15,24.47500038,24.54750061,24.21500015,24.49500084,21.72538757,195804000,0,0
2014/8/18,24.62249947,24.84250069,24.49500084,24.79000092,21.98703194,190288000,0,0
2014/8/19,24.85250092,25.17000008,24.82999992,25.13249969,22.29080963,277596000,0,0
2014/8/20,25.11000061,25.27249908,24.98749924,25.14249992,22.29967308,210796000,0,0
2014/8/21,25.14249992,25.23500061,25.02750015,25.14500046,22.30188942,133912000,0,0
2014/8/22,25.07250023,25.36750031,25.04750061,25.32999992,22.46597481,176736000,0,0
2014/8/25,25.44750023,25.54249954,25.31999969,25.38500023,22.51475525,161080000,0,0
2014/8/26,25.35499954,25.375,25.21500015,25.22249985,22.37063026,132608000,0,0
2014/8/27,25.25499916,25.64249992,25.17499924,25.53249931,22.64557457,209476000,0,0
2014/8/28,25.39749908,25.69499969,25.38999939,25.5625,22.67218208,273840000,0,0
2014/8/29,25.71500015,25.72500038,25.54999924,25.625,22.72761345,178380000,0,0
2014/9/2,25.76499939,25.93499947,25.68000031,25.82500076,22.90500641,214256000,0,0
2014/9/3,25.77499962,25.79999924,24.64500046,24.73500061,21.93824387,501684000,0,0
2014/9/4,24.71249962,25.02249908,24.44750023,24.53000069,21.75642776,342872000,0,0
2014/9/5,24.70000076,24.84749985,24.57749939,24.74250031,21.94490433,233828000,0,0
2014/9/8,24.82500076,24.82749939,24.51250076,24.59000015,21.80964279,185426800,0,0
2014/9/9,24.77000046,25.77000046,24.03499985,24.49749947,21.72760582,759385200,0,0
2014/9/10,24.50250053,25.27750015,24.44000053,25.25,22.39501953,403478400,0,0
2014/9/11,25.10250092,25.36000061,24.90500069,25.35750008,22.49036407,249412400,0,0
2014/9/12,25.30249977,25.54750061,25.27000046,25.41500092,22.54136658,250504400,0,0
2014/9/15,25.70249939,25.76250076,25.36000061,25.40749931,22.5347023,245266000,0,0
2014/9/16,24.95000076,25.31500053,24.72249985,25.21500015,22.3639698,267632400,0,0
2014/9/17,25.31749916,25.45000076,25.14749908,25.39500046,22.52362061,243706000,0,0
2014/9/18,25.48250008,25.58749962,25.38999939,25.44750023,22.57019043,149197600,0,0
2014/9/19,25.57250023,25.58749962,25.125,25.23999977,22.38615036,283609600,0,0
2014/9/22,25.45000076,25.53499985,25.14500046,25.26499939,22.40831757,211153600,0,0
2014/9/23,25.14999962,25.73500061,25.13500023,25.65999985,22.75866127,253608800,0,0
2014/9/24,25.54000092,25.71249962,25.29999924,25.4375,22.56131554,240687200,0,0
2014/9/25,25.12750053,25.17749977,24.43000031,24.46750069,21.7009964,400368000,0,0
2014/9/26,24.63249969,25.1875,24.60000038,25.1875,22.33959198,249482000,0,0
2014/9/29,24.66250038,25.11000061,24.65749931,25.02750015,22.1976757,199065200,0,0
2014/9/30,25.20249939,25.38500023,25.13249969,25.1875,22.33959198,221056400,0,0
2014/10/1,25.14749908,25.17250061,24.67499924,24.79500008,21.9914608,205965200,0,0
2014/10/2,24.81749916,25.05500031,24.51000023,24.97500038,22.1511097,191031200,0,0
